"genes" "prop" "taxon"
"1" 4730 0.8 "Allox_ar"
"2" 4729 0.8 "Andr_cur"
"3" 2872 0.49 "Andr_gro"
"4" 3214 0.55 "Andr_qln"
"5" 4015 0.68 "Andr_qrm"
"6" 4515 0.77 "Aula_tav"
"7" 4947 0.84 "Aylax_hy"
"8" 5388 0.91 "Beloc_tr"
"9" 1931 0.33 "Bior_pal"
"10" 2076 0.35 "Callas_no"
"11" 3366 0.57 "Calli_sp"
"12" 1376 0.23 "Cecin_ib"
"13" 3982 0.68 "Cerop_ma"
"14" 3815 0.65 "Diast_ki"
"15" 4041 0.69 "Dipl_spi"
"16" 3974 0.67 "Escha_ac"
"17" 3431 0.58 "Ganas_sp"
"18" 4106 0.7 "Hedic_le"
"19" 1090 0.19 "Irae_his"
"20" 4163 0.71 "Isoc_cen"
"21" 5110 0.87 "Lepto_bo"
"22" 4726 0.8 "Lepto_cl"
"23" 5028 0.85 "Lepto_he"
"24" 4735 0.8 "Parn_nig"
"25" 3572 0.61 "Pedia_ac"
"26" 4512 0.77 "Peric_sp"
"27" 3807 0.65 "Phaen_vi"
"28" 1894 0.32 "Phana_sp"
"29" 2555 0.43 "Prot_spe"
"30" 4143 0.7 "Qwaq_sco"
"31" 5303 0.9 "Syne_gif"
"32" 5161 0.88 "Syne_ito"
"33" 5322 0.9 "Syne_jap"
"34" 5354 0.91 "Syne_umb"
"35" 5675 0.96 "Nasonia"
"36" 5743 0.98 "Orussus"
"37" 5732 0.97 "Micropl"
