"file_name" "n_taxa" "n_sites"
"1" "busco.0at7399.faa.phy" 22 10259
"2" "busco.10001at7399.faa.phy" 25 823
"3" "busco.10019at7399.faa.phy" 27 860
"4" "busco.10025at7399.faa.phy" 15 860
"5" "busco.10027at7399.faa.phy" 28 1093
"6" "busco.10029at7399.faa.phy" 24 558
"7" "busco.1004at7399.faa.phy" 12 1972
"8" "busco.10055at7399.faa.phy" 5 731
"9" "busco.10058at7399.faa.phy" 26 1233
"10" "busco.10068at7399.faa.phy" 12 990
"11" "busco.10075at7399.faa.phy" 31 639
"12" "busco.10076at7399.faa.phy" 29 577
"13" "busco.1007at7399.faa.phy" 9 2110
"14" "busco.10080at7399.faa.phy" 29 605
"15" "busco.10089at7399.faa.phy" 25 2579
"16" "busco.10092at7399.faa.phy" 26 550
"17" "busco.10094at7399.faa.phy" 20 671
"18" "busco.10099at7399.faa.phy" 25 590
"19" "busco.10108at7399.faa.phy" 30 1309
"20" "busco.1010at7399.faa.phy" 30 2256
"21" "busco.10116at7399.faa.phy" 24 542
"22" "busco.10122at7399.faa.phy" 25 915
"23" "busco.10127at7399.faa.phy" 32 478
"24" "busco.10128at7399.faa.phy" 25 808
"25" "busco.10129at7399.faa.phy" 18 786
"26" "busco.1012at7399.faa.phy" 22 3031
"27" "busco.10148at7399.faa.phy" 28 1576
"28" "busco.10153at7399.faa.phy" 18 581
"29" "busco.10155at7399.faa.phy" 30 509
"30" "busco.10159at7399.faa.phy" 24 643
"31" "busco.10161at7399.faa.phy" 18 1098
"32" "busco.1016at7399.faa.phy" 16 2219
"33" "busco.10170at7399.faa.phy" 21 552
"34" "busco.10176at7399.faa.phy" 26 638
"35" "busco.10177at7399.faa.phy" 18 753
"36" "busco.10181at7399.faa.phy" 27 798
"37" "busco.1018at7399.faa.phy" 18 2440
"38" "busco.10191at7399.faa.phy" 28 546
"39" "busco.10198at7399.faa.phy" 19 956
"40" "busco.10202at7399.faa.phy" 26 1948
"41" "busco.10217at7399.faa.phy" 29 590
"42" "busco.10228at7399.faa.phy" 16 2068
"43" "busco.10229at7399.faa.phy" 30 550
"44" "busco.1022at7399.faa.phy" 16 2643
"45" "busco.10230at7399.faa.phy" 27 565
"46" "busco.10233at7399.faa.phy" 11 593
"47" "busco.10245at7399.faa.phy" 24 487
"48" "busco.10248at7399.faa.phy" 27 936
"49" "busco.10249at7399.faa.phy" 32 542
"50" "busco.10259at7399.faa.phy" 7 846
"51" "busco.10263at7399.faa.phy" 29 1095
"52" "busco.10265at7399.faa.phy" 18 1217
"53" "busco.10266at7399.faa.phy" 28 898
"54" "busco.10267at7399.faa.phy" 25 692
"55" "busco.10269at7399.faa.phy" 12 663
"56" "busco.10270at7399.faa.phy" 16 785
"57" "busco.10273at7399.faa.phy" 31 1171
"58" "busco.10275at7399.faa.phy" 33 2964
"59" "busco.10281at7399.faa.phy" 20 551
"60" "busco.10286at7399.faa.phy" 25 752
"61" "busco.10287at7399.faa.phy" 12 505
"62" "busco.10290at7399.faa.phy" 29 577
"63" "busco.102at7399.faa.phy" 10 5033
